tld,provider,amount
com.ro,openprovider,48.44
com.ru,openprovider,72.66
com.sa,openprovider,48.44
com.sb,openprovider,117.54
com.sc,openprovider,160
com.sd,openprovider,1150.42
com.se,openprovider,26.58
com.sg,openprovider,80
com.sn,openprovider,1114.09
com.so,openprovider,80
com.ss,openprovider,181.64
com.sv,openprovider,140
com.sy,openprovider,908.22
com.tj,openprovider,213.13
com.tl,openprovider,108.99
com.tn,openprovider,225.24
com.tr,openprovider,40
com.tt,openprovider,78.66
com.tw,openprovider,63.99
com.ua,openprovider,40
com.ug,openprovider,150.16
com.uy,openprovider,180
com.uz,openprovider,106.56
com.vc,openprovider,51
com.ve,openprovider,98
com.vi,openprovider,119
com.vn,openprovider,145
com.vu,openprovider,97
com.ws,openprovider,175.59
com.ye,openprovider,423.84
com.zm,openprovider,237.35
community,openprovider,49.98
como.it,openprovider,19.31
company,openprovider,24.5
compare,openprovider,48.98
computer,openprovider,48
condos,openprovider,57
conf.lv,openprovider,27.79
construction,openprovider,48
consulting,openprovider,56.9
contact,openprovider,19
contractors,openprovider,39
cooking,openprovider,48.98
cool,openprovider,55
coop,openprovider,133
coop.in,openprovider,11.84
corsica,openprovider,60.55
cosenza.it,openprovider,19.31
country,openprovider,2600
coupons,openprovider,55
courses,openprovider,49.98
cpa.pro,openprovider,222
cq.cn,openprovider,33.26
cr,openprovider,150
cr.it,openprovider,19.31
credit,openprovider,105
creditcard,openprovider,199
creditunion,openprovider,200.36
cremona.it,openprovider,19.31
cricket,openprovider,40
crotone.it,openprovider,19.31
cruises,openprovider,57
cs.in,openprovider,11.84
cs.it,openprovider,19.31
ct.it,openprovider,19.31
cu,openprovider,869
cue.ec,openprovider,39.95
cuneo.it,openprovider,19.31
cv,openprovider,339.07
cw,openprovider,236.14
cx,openprovider,42
cy,openprovider,239.77
cymru,openprovider,26.13
cyou,openprovider,25
cz,openprovider,11.53
cz.it,openprovider,19.31
czeladz.pl,openprovider,34.17
czest.pl,openprovider,34.17
dad,openprovider,17
dance,openprovider,32
date,openprovider,33
dating,openprovider,65
day,openprovider,14.98
de,openprovider,5.63
de.com,openprovider,33.85
de.pr,openprovider,294
dealer,openprovider,4000
deals,openprovider,48
degree,openprovider,54.9
delhi.in,openprovider,11.84
delivery,openprovider,68
dell-ogliastra.it,openprovider,19.31
dellogliastra.it,openprovider,19.31
democrat,openprovider,48
dental,openprovider,75
dentist,openprovider,60
desi,openprovider,24.36
design,openprovider,64.5
dev,openprovider,23.98
diamonds,openprovider,55
diet,openprovider,200.36
digital,openprovider,47
direct,openprovider,50
directory,openprovider,27.99
disco.ec,openprovider,39.95
discount,openprovider,39
diy,openprovider,45
dj,openprovider,121.1
dk,openprovider,10.86
dlugoleka.pl,openprovider,34.17
dm,openprovider,482
do,openprovider,120
doc.ec,openprovider,39.95
doctor,openprovider,119
dog,openprovider,65
domains,openprovider,47
donetsk.ua,openprovider,118.67
download,openprovider,33
dr.in,openprovider,11.84
durban,openprovider,19.98
dz,openprovider,363.29
earth,openprovider,30.36
ebiz.tw,openprovider,63.99
ec,openprovider,49.95
eco,openprovider,113.5
eco.bj,openprovider,39.96
edu.bi,openprovider,125.94
edu.es,openprovider,25.04
edu.gh,openprovider,1053.54
edu.gl,openprovider,90.81
edu.gr,openprovider,15.12
edu.hn,openprovider,115.04
edu.lk,openprovider,51.66
edu.lv,openprovider,27.79
edu.mk,openprovider,51
edu.mx,openprovider,35.99
edu.ng,openprovider,181.64
edu.pl,openprovider,42.71
edu.vn,openprovider,145
edu.vu,openprovider,97
education,openprovider,40
