product_sku,product_category,product_variant,currency,price_amount,product_features
army,domain,renew,USD,54,provider=openprovider
army,domain,transfer,USD,54,provider=openprovider
art,domain,create,USD,35,provider=openprovider
art,domain,renew,USD,35,provider=openprovider
art,domain,transfer,USD,35,provider=openprovider
art.ec,domain,create,USD,39.95,provider=openprovider
art.ec,domain,renew,USD,39.95,provider=openprovider
art.ec,domain,transfer,USD,39.95,provider=openprovider
arts.ro,domain,create,USD,18.37,provider=openprovider
arts.ro,domain,renew,USD,18.37,provider=openprovider
arts.ro,domain,transfer,USD,18.37,provider=openprovider
ascoli-piceno.it,domain,create,USD,19.56,provider=openprovider
ascoli-piceno.it,domain,renew,USD,19.56,provider=openprovider
ascoli-piceno.it,domain,transfer,USD,19.56,provider=openprovider
ascolipiceno.it,domain,create,USD,19.56,provider=openprovider
ascolipiceno.it,domain,renew,USD,19.56,provider=openprovider
ascolipiceno.it,domain,transfer,USD,19.56,provider=openprovider
asia,domain,create,USD,23.58,provider=openprovider
asia,domain,renew,USD,23.58,provider=openprovider
asia,domain,transfer,USD,23.58,provider=openprovider
asn.au,domain,create,USD,14.91,provider=openprovider
asn.au,domain,renew,USD,14.91,provider=openprovider
asn.au,domain,transfer,USD,0,provider=openprovider
asn.lv,domain,create,USD,28.15,provider=openprovider
asn.lv,domain,renew,USD,28.15,provider=openprovider
asn.lv,domain,transfer,USD,14.72,provider=openprovider
asso.fr,domain,create,USD,11.28,provider=openprovider
asso.fr,domain,renew,USD,11.35,provider=openprovider
asso.fr,domain,transfer,USD,11.28,provider=openprovider
associates,domain,create,USD,44,provider=openprovider
associates,domain,renew,USD,44,provider=openprovider
associates,domain,transfer,USD,44,provider=openprovider
asti.it,domain,create,USD,19.56,provider=openprovider
asti.it,domain,renew,USD,19.56,provider=openprovider
asti.it,domain,transfer,USD,19.56,provider=openprovider
at,domain,create,USD,12.51,provider=openprovider
at,domain,renew,USD,22.08,provider=openprovider
at,domain,transfer,USD,0,provider=openprovider
at.it,domain,create,USD,19.56,provider=openprovider
at.it,domain,renew,USD,19.56,provider=openprovider
at.it,domain,transfer,USD,19.56,provider=openprovider
at.pr,domain,create,USD,294,provider=openprovider
at.pr,domain,renew,USD,294,provider=openprovider
at.pr,domain,transfer,USD,294,provider=openprovider
